	clothing	concept	animal
keys	1	0	0
bike helmet	1	0	0
bracelet	1	0	0
earrings	1	0	0
necklace	1	0	0
wedding band	1	0	0
bracelet	1	0	0
necklace	1	0	0
earrings	1	0	0
camp shirt	1	0	0
jeans	1	0	0
bell-bottoms	1	0	0
suit pants	1	0	0
Bermuda shorts	1	0	0
capri pants	1	0	0
cargo pants	1	0	0
cargo shorts	1	0	0
cycling shorts	1	0	0
running pants	1	0	0
dress pants	1	0	0
jodhpurs	1	0	0
leggings	1	0	0
jeggings	1	0	0
parachute pants	1	0	0
shorts	1	0	0
swim trunks	1	0	0
sweatpants	1	0	0
yoga pants	1	0	0
skirt	1	0	0
pencil skirt	1	0	0
sarong	1	0	0
stockings	1	0	0
baseball cap	1	0	0
bucket hat	1	0	0
hard hat	1	0	0
Stetson	1	0	0
jacket	1	0	0
dinner jacket	1	0	0
suit jacket	1	0	0
raincoat	1	0	0
windbreaker	1	0	0
poncho	1	0	0
jean jacket	1	0	0
Pea coat	1	0	0
cape	1	0	0
flight jacket	1	0	0
trench coat	1	0	0
overcoat	1	0	0
parka	1	0	0
winter coat	1	0	0
sneakers	1	0	0
dress shoes	1	0	0
bowling shoes	1	0	0
flats	1	0	0
wedges	1	0	0
sandals	1	0	0
flip-flops	1	0	0
dress shoes	1	0	0
walking shoes	1	0	0
boots	1	0	0
hiking boots	1	0	0
steel-toed boots	1	0	0
cowboy boots	1	0	0
fur-lined boots	1	0	0
Crocs	1	0	0
rain boots	1	0	0
dress shirt	1	0	0
t-shirt	1	0	0
ringer t-shirt	1	0	0
sleeveless shirt	1	0	0
A-shirt	1	0	0
camisole	1	0	0
polo shirt	1	0	0
Henley shirt	1	0	0
baseball jersey	1	0	0
basketball jersey	1	0	0
sweatshirt	1	0	0
hooded sweatshirt	1	0	0
tunic	1	0	0
halter top	1	0	0
sweater	1	0	0
heavy sweater	1	0	0
tube top	1	0	0
blouse	1	0	0
cardigan	1	0	0
jean shirt	1	0	0
turtleneck	1	0	0
sweater vest	1	0	0
space suit	1	0	0
armored suit	1	0	0
suit	1	0	0
bandolier	1	0	0
belt	1	0	0
chain	1	0	0
collar	1	0	0
crown	1	0	0
torc	1	0	0
amulet	1	0	0
ring	1	0	0
mask	1	0	0
language	0	1	0
tools	0	1	0
writing	0	1	0
mathematics	0	1	0
time	0	1	0
weapons	0	1	0
science	0	1	0
philosophy	0	1	0
biology	0	1	0
democracy	0	1	0
libertarianism	0	1	0
totalitarianism	0	1	0
aristocracy	0	1	0
dictatorship	0	1	0
kleptocracy	0	1	0
neptocracy	0	1	0
