	place	material	descriptor	emotion	color	smell	geography	sound
society	1	0	0	0	0	0	0	0
culture	1	0	0	0	0	0	0	0
jungle	1	0	0	0	0	0	0	0
gathering	1	0	0	0	0	0	0	0
clubhouse	1	0	0	0	0	0	0	0
secret society	1	0	0	0	0	0	0	0
republic	1	0	0	0	0	0	0	0
colony	1	0	0	0	0	0	0	0
underworld	1	0	0	0	0	0	0	0
gymnasium	1	0	0	0	0	0	0	0
amphitheatre	1	0	0	0	0	0	0	0
stadium	1	0	0	0	0	0	0	0
skating rink	1	0	0	0	0	0	0	0
race course	1	0	0	0	0	0	0	0
cockpit	1	0	0	0	0	0	0	0
colosseum	1	0	0	0	0	0	0	0
iceberg	1	0	0	0	0	0	0	0
ice floe	1	0	0	0	0	0	0	0
riverbank	1	0	0	0	0	0	0	0
megalopolis	1	0	0	0	0	0	0	0
conurbation	1	0	0	0	0	0	0	0
obelisk	1	0	0	0	0	0	0	0
skyscraper	1	0	0	0	0	0	0	0
stronghold	1	0	0	0	0	0	0	0
minaret	1	0	0	0	0	0	0	0
fortification	1	0	0	0	0	0	0	0
fortress	1	0	0	0	0	0	0	0
panic room	1	0	0	0	0	0	0	0
phone booth	1	0	0	0	0	0	0	0
villa	1	0	0	0	0	0	0	0
acropolis	1	0	0	0	0	0	0	0
antechamber	1	0	0	0	0	0	0	0
cubicle	1	0	0	0	0	0	0	0
office park	1	0	0	0	0	0	0	0
industrial park	1	0	0	0	0	0	0	0
bathroom	1	0	0	0	0	0	0	0
lavatory	1	0	0	0	0	0	0	0
den	1	0	0	0	0	0	0	0
man cave	1	0	0	0	0	0	0	0
closet	1	0	0	0	0	0	0	0
scrap yard	1	0	0	0	0	0	0	0
steel mill	1	0	0	0	0	0	0	0
peak	1	0	0	0	0	0	0	0
loft	1	0	0	0	0	0	0	0
hellscape	1	0	0	0	0	0	0	0
arena	1	0	0	0	0	0	0	0
mountain	1	0	0	0	0	0	0	0
desert	1	0	0	0	0	0	0	0
glacier	1	0	0	0	0	0	0	0
pit	1	0	0	0	0	0	0	0
tower	1	0	0	0	0	0	0	0
planet	1	0	0	0	0	0	0	0
city	1	0	0	0	0	0	0	0
town	1	0	0	0	0	0	0	0
farm	1	0	0	0	0	0	0	0
country	1	0	0	0	0	0	0	0
metropolis	1	0	0	0	0	0	0	0
empire	1	0	0	0	0	0	0	0
airport	1	0	0	0	0	0	0	0
amusement park	1	0	0	0	0	0	0	0
temple	1	0	0	0	0	0	0	0
church	1	0	0	0	0	0	0	0
chapel	1	0	0	0	0	0	0	0
bakery	1	0	0	0	0	0	0	0
bank	1	0	0	0	0	0	0	0
vault	1	0	0	0	0	0	0	0
mine	1	0	0	0	0	0	0	0
bar	1	0	0	0	0	0	0	0
pub	1	0	0	0	0	0	0	0
